Class_ID,Node_Count
0,1
1,1
2,1
3,1
4,1
5,2
6,1
7,1
8,1
9,1
10,1
11,2
12,1
13,2
14,1
15,2
16,1
17,1
18,1
19,1
20,3
21,1
22,4
23,3
24,1
25,3
26,1
27,1
28,1
29,1
30,1
31,3
32,1
33,1
34,1
35,1
36,3
37,1
38,4
39,3
40,1
41,3
42,1
43,1
44,1
45,1
46,1
47,3
48,3
49,3
50,1
51,3
52,1
53,1
54,1
55,4
56,1
57,1
58,11
59,1
60,19
61,1
62,3
63,1
64,153
65,1
66,1
67,1
68,3
69,1
70,1
71,1
72,2
73,1
74,2
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,3
87,12
88,3
89,4
90,11
91,4
92,9
93,4
94,1
95,2
96,2
97,2
98,2
99,2
100,3
101,10
102,13
103,1
104,5
105,1
106,6
107,4
108,4
109,9
110,4
111,4
112,6
113,18
114,6
115,13
116,1
117,4
118,10
119,5
120,10
121,4
122,4
123,1
124,12
125,11
126,15
127,1
128,8
129,10
130,151
131,9
132,1
133,18
134,1
135,10
136,15
137,6
138,4
139,24
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,9
151,1
152,1
153,25
154,9
155,27
156,4
157,4
158,4
159,1
160,1
161,1
162,1
163,1
164,5
165,1
166,6
167,3
168,5
169,11
170,12
171,9
172,9
173,7
174,5
175,14
176,11
177,16
178,1
179,11
180,13
181,14
182,15
183,1
184,1
185,3
186,3
187,1
188,1
189,10
190,8
191,4
192,8
193,4
194,13
195,4
196,4
197,4
198,1
199,4
200,22
201,6
202,1
203,9
204,11
205,6
206,15
207,2
208,1
209,1
210,5
211,6
212,4
213,2
214,1
215,10
216,13
217,6
218,1
219,9
220,18
221,1
222,1
223,3
224,2
225,11
226,7
227,5
228,6
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,3
237,1
238,5
239,3
240,3
241,3
242,5
243,5
244,3
245,3
246,1
247,3
248,3
249,5
250,7
251,5
252,5
253,7
254,2
255,1
256,1
257,8
258,1
259,15
260,9
261,6
262,1
263,1
264,1
265,10
266,13
267,1
268,12
269,1
270,1
271,3
272,1
273,3
274,5
275,2
276,10
277,1
278,20
279,5
280,15
281,1
282,3
283,6
284,6
285,2
286,7
287,7
288,16
289,1
290,7
291,11
292,5
293,1
294,19
295,1
296,1
297,8
298,5
299,7
300,1
301,1
302,6
303,1
304,2
305,1
306,10
307,7
308,2
309,1
310,10
311,4
312,1
313,6
314,6
315,3
316,2
317,2
318,7
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,2
327,1
328,6
329,15
330,22
331,1
332,2
333,6
334,11
335,1
336,2
337,6
338,23
339,6
340,14
341,2
342,2
343,19
344,5
345,25
346,9
347,3
348,1
349,6
350,4
351,1
352,2
353,3
354,2
355,3
356,5
357,3
358,1
359,2
360,1
361,1
362,2
363,3
364,1
365,13
366,1
367,2
368,21
369,1
370,2
371,1
372,16
373,2
374,2
375,1
376,5
377,4
378,3
379,5
380,1
381,9
382,2
383,1
384,3
385,2
386,6
387,5
388,1
389,4
390,2
391,1
392,4
393,1
394,1
395,1
396,1
397,1
398,1
399,3
400,1
401,4
402,1
403,3
404,2
405,3
406,10
407,9
408,3
409,2
410,6
411,4
412,1
413,2
414,4
415,1
416,3
417,1
418,5
419,4
420,1
421,2
422,3
423,3
424,3
425,1
426,1
427,1
428,5
429,5
430,5
431,5
432,5
433,4
434,1
435,1
436,9
437,3
438,3
439,5
440,5
441,5
442,1
443,1
444,2
445,6
446,6
447,6
448,9
449,6
450,11
451,5
452,7
453,5
454,6
455,1
456,2
457,1
458,6
459,1
460,1
461,1
462,2
463,1
464,1
465,1
466,1
467,3
468,1
469,1
470,1
471,3
472,7
473,3
474,1
475,2
476,1
477,4
478,2
479,1
480,1
481,2
482,2
483,1
484,1
485,2
486,2
487,2
488,1
489,2
490,7
491,1
492,1
493,1
494,1
495,1
496,3
497,1
498,2
499,2
500,4
501,1
502,1
503,1
504,5
505,1
506,1
507,1
508,1
509,1
510,5
511,1
512,1
513,1
514,1
515,1
516,3
517,1
518,1
519,1
520,3
521,4
522,1
523,1
524,3
525,1
526,1
527,1
528,1
529,4
530,3
531,2
532,1
533,3
534,2
535,1
536,1
537,1
538,2
539,2
540,2
541,1
542,4
543,3
544,1
545,1
546,1
547,2
548,2
549,2
550,2
551,1
552,3
553,4
554,2
555,2
556,2
557,2
558,2
559,2
560,1
561,2
562,2
563,2
564,1
565,1
566,1
567,1
568,1
569,1
570,2
571,1
572,1
573,1
574,1
575,3
576,1
577,1
578,1
579,5
580,1
581,1
582,1
583,3
584,4
585,2
586,1
587,3
588,5
589,1
590,3
591,1
592,1
593,1
594,1
595,1
596,1
597,2
598,1
599,2
600,1
601,1
602,1
603,1
604,1
605,2
606,2
607,1
608,1
609,1
610,1
611,1
612,1
613,5
614,2
615,1
616,2
617,1
618,3
619,1
620,2
621,1
622,2
623,4
624,1
625,1
626,1
627,4
628,1
629,5
630,1
631,1
632,5
633,1
634,1
635,2
636,4
637,1
638,2
639,2
640,3
641,2
642,2
643,4
644,1
645,4
646,1
647,2
648,2
649,4
650,1
651,2
652,4
653,1
654,2
655,1
656,1
657,1
658,1
659,2
660,5
661,1
662,1
663,2
664,1
665,2
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,3
680,1
681,1
682,1
683,1
684,2
685,3
686,1
687,2
688,1
689,1
690,1
691,1
692,5
693,1
694,1
695,1
696,5
697,1
698,2
699,1
700,1
701,4
702,1
703,1
704,4
705,1
706,2
707,1
708,1
709,1
710,1
711,2
712,1
713,2
714,2
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
